date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2020-09-01,132.76,134.18,O:AAPL200904C00133750,O:AAPL200904P00133750,133.75,133.75,2020-09-04,3,67831,14853,82684,2.55,2.24,0.4806507211446761,0.5054875063300133,0.4930691137373447,0.0483096355368041,0.0483209839422129,0.0483153097395085
2020-09-02,137.59,131.4,O:AAPL200904C00131250,O:AAPL200904P00131250,131.25,131.25,2020-09-04,2,50679,23029,73708,2.32,2.18,0.578721172952652,0.5813010143995285,0.5800110936760903,0.0387589473394099,0.038758989906652,0.038758968623031
2020-09-03,126.91,120.88,O:AAPL200904C00121250,O:AAPL200904P00121250,121.25,121.25,2020-09-04,1,17708,37169,54877,2.09,2.31,0.898095816922188,0.8386114106416704,0.8683536137819292,0.0252199328739478,0.0252129965409643,0.025216464707456
2020-09-04,120.07,120.96,O:AAPL200911C00121250,O:AAPL200911P00121250,121.25,121.25,2020-09-11,7,23356,9845,33201,3.7,3.85,0.5745656756401062,0.5536154605746268,0.5640905681073665,0.0668242425999924,0.0668256952417387,0.0668249689208656
2020-09-08,113.95,112.82,O:AAPL200911C00112500,O:AAPL200911P00112500,112.5,112.5,2020-09-11,3,5780,22366,28146,3.6,3.3,0.8438619279861451,0.8487770015716554,0.8463194647789003,0.0406889524289067,0.0406889284949029,0.0406889404619048
2020-09-09,117.26,117.32,O:AAPL200911C00117500,O:AAPL200911P00117500,117.5,117.5,2020-09-11,2,68332,30977,99309,1.9,2.1,0.5736129867553711,0.5793863386154174,0.5764996626853942,0.0346419742166928,0.0346422640406388,0.0346421191286658
2020-09-10,120.36,113.49,O:AAPL200911C00113750,O:AAPL200911P00113750,113.75,113.75,2020-09-11,1,23252,37046,60298,1.42,1.67,0.6518672236680985,0.6476423488616945,0.6497547862648965,0.0236689080320892,0.023668255784105,0.0236685819080971
2020-09-11,114.57,112.0,O:AAPL200918C00112500,O:AAPL200918P00112500,112.5,112.5,2020-09-18,7,50388,38742,89130,3.05,3.5,0.531273761856556,0.5231905685901644,0.5272321652233602,0.0618597453013443,0.0618574791112684,0.0618586122063063
2020-09-14,114.72,115.355,O:AAPL200918C00115000,O:AAPL200918P00115000,115.0,115.0,2020-09-18,4,125372,39086,164458,2.81,2.54,0.546558982694149,0.5642620449543,0.5554105138242245,0.0480123434577284,0.0480153528189085,0.0480138481383185
2020-09-15,118.33,115.54,O:AAPL200918C00115000,O:AAPL200918P00115000,115.0,115.0,2020-09-18,3,98540,91081,189621,2.41,1.86,0.5107369508266448,0.5083251888751984,0.5095310698509217,0.0414667727114094,0.0414648588370521,0.0414658157742308
2020-09-16,115.23,112.13,O:AAPL200918C00112500,O:AAPL200918P00112500,112.5,112.5,2020-09-18,2,61987,112168,174155,1.66,1.95,0.5545170103788375,0.5303110597252847,0.5424140350520611,0.033054124955919,0.0330447809470149,0.0330494529514669
2020-09-17,109.72,110.34,O:AAPL200918C00110000,O:AAPL200918P00110000,110.0,110.0,2020-09-18,1,125136,147792,272928,1.41,1.08,0.5357843718051911,0.540158014845848,0.5379711933255196,0.0228641001967328,0.0228662963044454,0.0228651982505891
