date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2022-06-07,122.005,123.0,O:AMZN220610C00123000,O:AMZN220610P00123000,123.0,123.0,2022-06-10,3,36794,12940,49734,2.07,2.07,0.4653429705023766,0.4653429705023766,0.4653429705023766,0.0444767199863788,0.0444767199863788,0.0444767199863788
2022-06-08,122.61,121.18,O:AMZN220610C00121250,O:AMZN220610P00121250,121.25,121.25,2022-06-10,2,5726,9463,15189,1.67,1.78,0.4762706410169601,0.4874482850790024,0.4818594630479813,0.0357856773322572,0.0357856309513781,0.0357856541418177
2022-06-09,119.99,116.15,O:AMZN220610C00116000,O:AMZN220610P00116000,116.0,116.0,2022-06-10,1,1334,6640,7974,1.5,1.37,0.5874169623374939,0.5956764602661133,0.5915467113018036,0.0242140442234106,0.0242145521681519,0.0242142981957813
2022-06-10,113.415,109.65,O:AMZN220617C00109750,O:AMZN220617P00109750,109.75,109.75,2022-06-17,7,2322,5307,7629,2.96,2.98,0.4967005248785018,0.4834919798493385,0.4900962523639202,0.0605653517187356,0.06056693695368,0.0605661443362078
2022-06-13,104.19,103.67,O:AMZN220617C00103750,O:AMZN220617P00103750,103.75,103.75,2022-06-17,4,3106,4159,7265,3.21,3.15,0.7505159404635429,0.7181670746803284,0.7343415075719356,0.0432771043006288,0.0432797288233622,0.0432784165619955
2022-06-14,104.19,102.31,O:AMZN220617C00102250,O:AMZN220617P00102250,102.25,102.25,2022-06-17,3,741,3552,4293,2.6,2.6,0.6948183294534684,0.7110462259292604,0.7029322776913645,0.0369726619192227,0.0369718676608862,0.0369722647900544
2022-06-15,103.86,107.67,O:AMZN220617C00107750,O:AMZN220617P00107750,107.75,107.75,2022-06-17,2,2716,1531,4247,2.09,2.05,0.6696385905742646,0.6318972339153289,0.6507679122447967,0.0317945357060065,0.0317951663504699,0.0317948510282382
2022-06-16,104.47,103.66,O:AMZN220617C00103750,O:AMZN220617P00103750,103.75,103.75,2022-06-17,1,6534,6959,13493,1.44,1.5,0.6855825399875644,0.6717220610857009,0.6786523005366326,0.0216454380194869,0.021645313556775,0.0216453757881309
2022-06-17,102.8,106.22,O:AMZN220624C00106250,O:AMZN220624P00106250,106.25,106.25,2022-06-24,7,2779,1016,3795,2.64,2.55,0.452429458630085,0.4319738264203072,0.4422016425251961,0.0586627950552341,0.0586652814818024,0.0586640382685183
2022-06-21,108.2,108.68,O:AMZN220624C00108750,O:AMZN220624P00108750,108.75,108.75,2022-06-24,3,3761,3123,6884,1.97,2.07,0.5099144341468811,0.5175466737031937,0.5137305539250374,0.0393057028847193,0.0393054978310097,0.0393056003578645
2022-06-22,107.43,108.95,O:AMZN220624C00109000,O:AMZN220624P00109000,109.0,109.0,2022-06-24,2,14039,13868,27907,1.65,1.69,0.5204816277861595,0.5173735875844956,0.5189276076853275,0.0321731896522177,0.0321732332423726,0.0321732114472952
2022-06-23,110.39,112.44,O:AMZN220624C00112500,O:AMZN220624P00112500,112.5,112.5,2022-06-24,1,5203,2250,7453,1.18,1.18,0.5151256137371064,0.489570378112793,0.5023479959249497,0.0234787969940157,0.0234785111467912,0.0234786540704035
2022-06-24,112.38,116.46,O:AMZN220701C00116000,O:AMZN220701P00116000,116.0,116.0,2022-07-01,7,10878,2059,12937,3.04,2.4,0.436730476140976,0.4086229354977607,0.4226767058193684,0.0640474196541113,0.0640315563001973,0.0640394879771543
2022-06-27,117.09,113.22,O:AMZN220701C00113250,O:AMZN220701P00113250,113.25,113.25,2022-07-01,4,827,1807,2634,2.25,2.28,0.4789974626183509,0.4789974626183509,0.4789974626183509,0.0472750230829411,0.0472750230829411,0.0472750230829411
2022-06-28,113.5,107.4,O:AMZN220701C00107500,O:AMZN220701P00107500,107.5,107.5,2022-07-01,3,2506,3876,6382,2.04,2.14,0.5377491138219834,0.5377491138219834,0.5377491138219834,0.0388438683928266,0.0388438683928266,0.0388438683928266
2022-06-29,107.38,108.92,O:AMZN220701C00109000,O:AMZN220701P00109000,109.0,109.0,2022-07-01,2,19516,21117,40633,1.68,1.75,0.5344862259149552,0.5313771128654479,0.5329316693902015,0.032165176462883,0.0321651844694112,0.0321651804661471
2022-06-30,108.11,106.21,O:AMZN220701C00106250,O:AMZN220701P00106250,106.25,106.25,2022-07-01,1,5853,6194,12047,1.19,1.31,0.5454457242488862,0.5815170144319535,0.5634813693404198,0.0221783271944712,0.0221782503159052,0.0221782887551882
2022-07-01,106.29,109.56,O:AMZN220708C00109500,O:AMZN220708P00109500,109.5,109.5,2022-07-08,7,1529,1339,2868,2.36,2.31,0.3850692763328552,0.3867225348591805,0.3858959055960178,0.0604878900351834,0.0604877322420175,0.0604878111386004
2022-07-05,107.6,113.5,O:AMZN220708C00113500,O:AMZN220708P00113500,113.5,113.5,2022-07-08,3,5841,2387,8228,2.04,2.09,0.4969887633323669,0.5091720234394074,0.5030803933858872,0.0410402420750056,0.0410397252107654,0.0410399836428855
2022-07-06,113.21,114.33,O:AMZN220708C00114250,O:AMZN220708P00114250,114.25,114.25,2022-07-08,2,7226,3183,10409,1.74,1.59,0.5036289762496949,0.4828815294265747,0.4932552528381348,0.0337392043091665,0.0337391552658055,0.033739179787486
