date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2022-07-19,111.73,114.62,O:GOOG220722C00114630,O:GOOG220722P00114630,114.63,114.63,2022-07-22,3,403,31,434,1.68,1.7,0.4064618623256683,0.4088743395090102,0.4076681009173393,0.0414503952404845,0.0414503128414724,0.0414503540409784
2022-07-20,114.06,114.7,O:GOOG220722C00114750,O:GOOG220722P00114750,114.75,114.75,2022-07-22,2,614,391,1005,1.34,1.44,0.4028706829786301,0.4176323540687561,0.4102515185236931,0.0338720927764923,0.0338720629631278,0.0338720778698101
2022-07-21,115.09,115.04,O:GOOG220722C00115000,O:GOOG220722P00115000,115.0,115.0,2022-07-22,1,11390,2220,13610,1.15,1.17,0.4704450772285461,0.4954309882640838,0.4829380327463149,0.0240137929583916,0.024013829955179,0.0240138114567853
2022-07-22,111.81,108.36,O:GOOG220729C00108250,O:GOOG220729P00108250,108.25,108.25,2022-07-29,7,610,141,751,3.9,3.76,0.6427621428310871,0.6377431818127632,0.6402526623219251,0.0597726765167886,0.0597735359407516,0.0597731062287701
2022-07-25,108.88,108.21,O:GOOG220729C00108250,O:GOOG220729P00108250,108.25,108.25,2022-07-29,4,459,174,633,3.8,3.74,0.8453957427859307,0.8232503752231599,0.8343230590045453,0.0451556714799566,0.0451579358594896,0.0451568036697231
2022-07-26,107.43,105.44,O:GOOG220729C00105500,O:GOOG220729P00105500,105.5,105.5,2022-07-29,3,2011,2009,4020,3.8,3.75,1.004354601085186,0.9754889146327972,0.9899217578589916,0.0381061107975066,0.0381083036059094,0.038107207201708
2022-07-27,109.6,113.6,O:GOOG220729C00113500,O:GOOG220729P00113500,113.5,113.5,2022-07-29,2,1643,436,2079,1.39,1.25,0.3994497288227081,0.3875146541833877,0.393482191503048,0.03351395152341,0.033513237387841,0.0335135944556255
2022-07-28,112.8,114.59,O:GOOG220729C00114500,O:GOOG220729P00114500,114.5,114.5,2022-07-29,1,1198,355,1553,0.85,0.85,0.3362246597290039,0.3738873408794403,0.3550560003042221,0.0238940676839184,0.0238984052226467,0.0238962364532826
2022-07-29,113.4,116.64,O:GOOG220805C00116750,O:GOOG220805P00116750,116.75,116.75,2022-08-05,7,341,151,492,1.7,1.69,0.272145961368084,0.2535238261222839,0.262834893745184,0.0644394619381387,0.0644379044378166,0.0644386831879777
2022-08-01,115.53,115.48,O:GOOG220805C00115500,O:GOOG220805P00115500,115.5,115.5,2022-08-05,4,240,405,645,1.6,1.58,0.3338139706254005,0.3255194263339043,0.3296666984796524,0.0482243500195977,0.0482246807368671,0.0482245153782324
2022-08-02,114.43,115.9,O:GOOG220805C00116000,O:GOOG220805P00116000,116.0,116.0,2022-08-05,3,2359,638,2997,1.4,1.45,0.3456417604804039,0.3337131229281426,0.3396774417042733,0.0419157441198264,0.0419149378864682,0.0419153410031473
2022-08-03,116.34,118.78,O:GOOG220805C00119000,O:GOOG220805P00119000,119.0,119.0,2022-08-05,2,5708,2472,8180,1.0,1.2,0.3151703784227371,0.3094556755781174,0.3123130270004272,0.0349967833158872,0.0349927657274912,0.0349947745216892
2022-08-04,118.3,118.87,O:GOOG220805C00119000,O:GOOG220805P00119000,119.0,119.0,2022-08-05,1,3118,4246,7364,0.75,0.9,0.3274974001407623,0.3355666463851928,0.3315320232629776,0.0247841722748747,0.0247865209496845,0.0247853466122796
2022-08-05,116.93,118.22,O:GOOG220812C00118000,O:GOOG220812P00118000,118.0,118.0,2022-08-12,7,1756,1001,2757,1.9,1.55,0.2740041338324548,0.2540523824930191,0.264028258162737,0.0651624976062782,0.0651513288554465,0.0651569132308624
2022-08-08,119.12,118.14,O:GOOG220812C00118000,O:GOOG220812P00118000,118.0,118.0,2022-08-12,4,1136,4241,5377,1.7,1.5,0.3303855065345764,0.3182083258986472,0.3242969162166118,0.0492734479049682,0.049271722394437,0.0492725851497026
2022-08-09,117.99,117.5,O:GOOG220812C00117500,O:GOOG220812P00117500,117.5,117.5,2022-08-12,3,659,815,1474,1.5,1.53,0.3529782516479492,0.3600383056879043,0.3565082786679268,0.0424919375719867,0.0424917178105654,0.042491827691276
2022-08-10,119.59,120.65,O:GOOG220812C00120500,O:GOOG220812P00120500,120.5,120.5,2022-08-12,2,1918,987,2905,1.07,0.95,0.2789381610631942,0.2873786126613616,0.2831583868622779,0.0355405720404526,0.0355441894487317,0.0355423807445921
2022-08-11,122.08,119.82,O:GOOG220812C00120000,O:GOOG220812P00120000,120.0,120.0,2022-08-12,1,4172,8098,12270,0.7,0.9,0.3142019544363021,0.3222225649118423,0.3182122596740722,0.0249341820512801,0.0249392454031476,0.0249367137272139
2022-08-12,121.16,122.65,O:GOOG220819C00122500,O:GOOG220819P00122500,122.5,122.5,2022-08-19,7,1339,224,1563,1.65,1.5,0.2324187633514404,0.2324187633514404,0.2324187633514404,0.0676619233457396,0.0676619233457396,0.0676619233457396
2022-08-15,122.21,122.88,O:GOOG220819C00123000,O:GOOG220819P00123000,123.0,123.0,2022-08-19,4,2275,314,2589,1.28,1.45,0.2608277742385865,0.2705731664299965,0.2657004703342915,0.0513060780688789,0.0513080330896501,0.0513070555792645
2022-08-16,122.32,122.51,O:GOOG220819C00122500,O:GOOG220819P00122500,122.5,122.5,2022-08-19,3,1697,327,2024,1.21,1.15,0.2719678686261177,0.260682224547863,0.2663250465869904,0.0443039748493949,0.0443042269934671,0.044304100921431
2022-08-17,120.93,120.32,O:GOOG220819C00120500,O:GOOG220819P00120500,120.5,120.5,2022-08-19,2,1249,537,1786,0.97,1.1,0.2974226141691208,0.2833261087417602,0.2903743614554405,0.0354742829508785,0.0354661431986339,0.0354702130747562
2022-08-18,120.23,120.86,O:GOOG220819C00121000,O:GOOG220819P00121000,121.0,121.0,2022-08-19,1,1594,1255,2849,0.6,0.9,0.264401788020134,0.3279437048435211,0.2961727464318275,0.0251633058324322,0.0251938124350152,0.0251785591337237
2022-08-19,119.87,118.12,O:GOOG220826C00118000,O:GOOG220826P00118000,118.0,118.0,2022-08-26,7,1216,355,1571,1.85,1.6,0.2743520941495896,0.2544101772487164,0.264381135699153,0.065190092713089,0.0651879400834494,0.0651890163982692
2022-08-22,116.1,115.07,O:GOOG220826C00115000,O:GOOG220826P00115000,115.0,115.0,2022-08-26,4,1033,1170,2203,1.72,1.7,0.3507041718363761,0.3611150873064995,0.3559096295714378,0.0480275883948542,0.0480274757365371,0.0480275320656957
2022-08-23,114.32,114.77,O:GOOG220826C00114750,O:GOOG220826P00114750,114.75,114.75,2022-08-26,3,359,358,717,1.4,1.58,0.3348957588672638,0.3830880839824676,0.3589919214248657,0.0415009082547069,0.0414995941435511,0.041500251199129
2022-08-24,114.45,114.7,O:GOOG220826C00114750,O:GOOG220826P00114750,114.75,114.75,2022-08-26,2,459,285,744,1.47,1.3,0.4412503841042519,0.3763001756787301,0.408775279891491,0.0338719430329632,0.0338720442382618,0.0338719936356125
2022-08-25,115.15,117.7,O:GOOG220826C00117750,O:GOOG220826P00117750,117.75,117.75,2022-08-26,1,443,42,485,0.88,0.95,0.3680589161634445,0.376196824669838,0.3721278704166413,0.0245757417801826,0.0245759463948694,0.024575844087526
2022-08-26,115.81,111.3,O:GOOG220902C00111000,O:GOOG220902P00111000,111.0,111.0,2022-09-02,7,807,996,1803,2.28,1.89,0.3463476943612099,0.331663268315792,0.339005481338501,0.0612927653603621,0.0612854451104727,0.0612891052354174
2022-08-29,110.78,110.34,O:GOOG220902C00110000,O:GOOG220902P00110000,110.0,110.0,2022-09-02,4,1892,2717,4609,1.97,1.5,0.3901291843771934,0.3617820410490036,0.3759556127130985,0.0458697073763273,0.0458497242360552,0.0458597158061912
2022-08-30,111.03,109.91,O:GOOG220902C00110000,O:GOOG220902P00110000,110.0,110.0,2022-09-02,3,2555,1058,3613,1.55,1.65,0.4009917687892914,0.4035072393655777,0.4022495040774345,0.0397518533627188,0.0397518959480544,0.0397518746553866
2022-08-31,111.63,109.15,O:GOOG220902C00109000,O:GOOG220902P00109000,109.0,109.0,2022-09-02,2,261,1816,2077,1.55,1.2,0.4575630355596542,0.395405807685852,0.4264844216227531,0.0321798119496626,0.0321719867989336,0.0321758993742981
2022-09-01,109.2,110.55,O:GOOG220902C00111000,O:GOOG220902P00111000,111.0,111.0,2022-09-02,1,2580,1967,4547,0.8,1.2,0.4362412575244905,0.4142614661455155,0.425251361835003,0.0227668711247331,0.0227278035104441,0.0227473373175886
2022-09-02,111.34,108.68,O:GOOG220909C00109000,O:GOOG220909P00109000,109.0,109.0,2022-09-09,7,572,662,1234,1.62,2.1,0.295276203250885,0.321953995335102,0.3086150992929936,0.0599635544419754,0.0599858138430603,0.0599746841425178
2022-09-06,108.135,107.48,O:GOOG220909C00107000,O:GOOG220909P00107000,107.0,107.0,2022-09-09,3,860,1475,2335,1.79,1.32,0.3965759270668029,0.399174364542961,0.397875145804882,0.0384808229878252,0.0384846110388586,0.0384827170133419
2022-09-07,107.76,110.48,O:GOOG220909C00110000,O:GOOG220909P00110000,110.0,110.0,2022-09-09,2,3863,1101,4964,1.45,0.95,0.3669864259362221,0.3607614051342011,0.3638739155352116,0.0321364705873241,0.0321222047514054,0.0321293376693647
2022-09-08,109.18,109.42,O:GOOG220909C00109000,O:GOOG220909P00109000,109.0,109.0,2022-09-09,1,1798,1924,3722,0.99,0.62,0.3339888448238373,0.3564178018331528,0.345203323328495,0.0222586964491424,0.0223243301319262,0.0222915132905343
2022-09-09,110.05,111.78,O:GOOG220916C00111750,O:GOOG220916P00111750,111.75,111.75,2022-09-16,7,317,39,356,1.86,1.84,0.2988130249738693,0.3004330252170562,0.2996230250954628,0.0617328567858143,0.0617327270887901,0.0617327919373022
2022-09-12,111.99,111.87,O:GOOG220916C00111750,O:GOOG220916P00111750,111.75,111.75,2022-09-16,4,1448,260,1708,1.8,1.68,0.3725101618647575,0.3725101618647575,0.3725101618647575,0.0466688587418451,0.0466688587418451,0.0466688587418451
2022-09-13,108.89,105.31,O:GOOG220916C00105250,O:GOOG220916P00105250,105.25,105.25,2022-09-16,3,194,208,402,1.7,1.58,0.4385614697933198,0.4227991892814636,0.4306803295373916,0.0380662141135191,0.038066448091983,0.0380663311027511
2022-09-14,105.44,105.87,O:GOOG220916C00105750,O:GOOG220916P00105750,105.75,105.75,2022-09-16,2,673,154,827,1.35,1.25,0.4125742341041565,0.4189798509597778,0.4157770425319672,0.0312216027935234,0.0312221421083836,0.0312218724509535
2022-09-15,105.01,103.9,O:GOOG220916C00104000,O:GOOG220916P00104000,104.0,104.0,2022-09-16,1,645,612,1257,0.9,0.93,0.4372819199323655,0.4050006435632706,0.421141281747818,0.0216858295715588,0.021682856557367,0.0216843430644629
