date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2020-06-01,154.47,152.45,O:LLY200605C00152500,O:LLY200605P00152500,152.5,152.5,2020-06-05,4,134,45,179,2.48,2.22,0.3933981517553329,0.3447051643133164,0.3690516580343246,0.0636629011780408,0.0636654251181037,0.0636641631480723
2020-06-02,152.08,153.86,O:LLY200605C00155000,O:LLY200605P00155000,155.0,155.0,2020-06-05,3,127,2,129,1.08,2.75,0.2838199763655663,0.381669421517849,0.3327446989417076,0.053597474410493,0.0545889432827848,0.0540932088466389
2020-06-03,153.34,152.53,O:LLY200605C00152500,O:LLY200605P00152500,152.5,152.5,2020-06-05,2,66,105,171,1.65,1.5,0.3630179617643356,0.3363712822675705,0.3496946220159531,0.0450339823143923,0.0450343584315595,0.0450341703729759
2020-06-04,152.21,150.71,O:LLY200605C00150000,O:LLY200605P00150000,150.0,150.0,2020-06-05,1,15,20,35,1.35,0.66,0.3036115157604216,0.3102631723880767,0.3069373440742492,0.0300395517072132,0.0300958160777654,0.0300676838924893
2020-06-05,149.7,149.21,O:LLY200612C00149000,O:LLY200612P00149000,149.0,149.0,2020-06-12,7,0,13,13,,2.03,,0.2589892706513406,0.2589892706513406,,0.0823000459377929,0.0823000459377929
2020-06-08,146.75,149.21,O:LLY200612C00149000,O:LLY200612P00149000,149.0,149.0,2020-06-12,4,164,2,166,1.69,2.98,0.2541841639697552,0.4952879418849945,0.3747360529273748,0.0621783156771039,0.0622271003625193,0.0622027080198116
2020-06-09,149.75,149.13,O:LLY200612C00149000,O:LLY200612P00149000,149.0,149.0,2020-06-12,3,134,16,150,1.9,0.95,0.3402356801986694,0.1880196705937385,0.264127675396204,0.053885841815382,0.053841323836127,0.0538635828257545
2020-06-10,149.96,151.0,O:LLY200612C00150000,O:LLY200612P00150000,150.0,150.0,2020-06-12,2,285,19,304,2.63,1.45,0.4707454746246338,0.4294240247130394,0.4500847496688366,0.0436366497354087,0.0434780322661115,0.0435573410007601
2020-06-11,151.85,144.08,O:LLY200612C00144000,O:LLY200612P00144000,144.0,144.0,2020-06-12,1,6,17,23,1.3,1.25,0.4187867383480073,0.4287649385213852,0.4237758384346962,0.0300663868344154,0.0300667437251077,0.0300665652797615
2020-06-12,145.54,143.54,O:LLY200619C00144000,O:LLY200619P00144000,144.0,144.0,2020-06-19,7,133,54,187,2.82,3.6,0.3833384151458739,0.4237078914046287,0.4035231532752513,0.0792571743393821,0.0792771104789999,0.079267142409191
2020-06-15,142.0,141.52,O:LLY200619C00142000,O:LLY200619P00142000,142.0,142.0,2020-06-19,4,11,11,22,1.81,2.66,0.3447663166403771,0.4075078889727592,0.3761371028065682,0.0589338433512889,0.0590037889824045,0.0589688161668467
2020-06-16,156.32,163.71,O:LLY200619C00162500,O:LLY200619P00162500,162.5,162.5,2020-06-19,3,1507,517,2024,3.55,2.85,0.4924820871591568,0.5799806963205338,0.5362313917398454,0.058168167679958,0.0583869673734096,0.0582775675266838
2020-06-17,164.23,159.97,O:LLY200619C00160000,O:LLY200619P00160000,160.0,160.0,2020-06-19,2,586,462,1048,2.03,2.12,0.4328589258909225,0.4455607291221619,0.4392098275065422,0.0472383504169514,0.0472380348807688,0.0472381926488601
2020-06-18,159.2,161.07,O:LLY200619C00160000,O:LLY200619P00160000,160.0,160.0,2020-06-19,1,250,534,784,1.95,0.9,0.4021207623362541,0.4083894122838973,0.4052550873100757,0.0318809707516172,0.0319296487363073,0.0319053097439623
2020-06-19,162.23,159.94,O:LLY200626C00160000,O:LLY200626P00160000,160.0,160.0,2020-06-26,7,896,46,942,2.74,2.8,0.31343415299654,0.31343415299654,0.31343415299654,0.0883553184989519,0.0883553184989519,0.0883553184989519
2020-06-22,159.18,160.45,O:LLY200626C00160000,O:LLY200626P00160000,160.0,160.0,2020-06-26,4,587,18,605,2.47,1.71,0.3344415866136551,0.2879347054600716,0.3111881460368633,0.0666898234220072,0.0666175917794248,0.066653707600716
2020-06-23,160.89,159.34,O:LLY200626C00160000,O:LLY200626P00160000,160.0,160.0,2020-06-26,3,299,50,349,1.8,2.46,0.3660158562541008,0.3660158562541008,0.3660158562541008,0.0572950838140703,0.0572950838140703,0.0572950838140703
2020-06-24,158.55,157.03,O:LLY200626C00157500,O:LLY200626P00157500,157.5,157.5,2020-06-26,2,48,150,198,1.65,1.67,0.403881663262844,0.3063379797458648,0.3551098215043544,0.0462053002532245,0.0460373714749577,0.0461213358640911
2020-06-25,157.64,162.86,O:LLY200626C00162500,O:LLY200626P00162500,162.5,162.5,2020-06-26,1,326,29,355,1.76,1.22,0.4631972748160363,0.4099561277508735,0.4365767012834549,0.0338264610642387,0.0337880462878317,0.0338072536760352
2020-06-26,162.33,162.83,O:LLY200702C00162500,O:LLY200702P00162500,162.5,162.5,2020-07-02,6,1180,40,1220,2.95,2.93,0.3343791826307773,0.3716851418733596,0.3530321622520685,0.0830896879953926,0.0831029293895583,0.0830963086924755
2020-06-29,163.85,162.72,O:LLY200702C00162500,O:LLY200702P00162500,162.5,162.5,2020-07-02,3,113,20,133,2.5,2.6,0.4061232000231742,0.4605763075351716,0.4333497537791729,0.0587630893514593,0.0587690664978539,0.0587660779246566
2020-06-30,163.11,164.18,O:LLY200702C00165000,O:LLY200702P00165000,165.0,165.0,2020-07-02,2,574,4,578,1.5,2.26,0.3871409455180168,0.3746007846951484,0.3808708651065826,0.047871072619349,0.047822165624365,0.047846619121857
2020-07-01,164.32,163.3,O:LLY200702C00162500,O:LLY200702P00162500,162.5,162.5,2020-07-02,1,42,7,49,2.0,0.72,0.4608595393657685,0.3154067625641822,0.3881331509649753,0.0333159094574926,0.0325426878595108,0.0329292986585017
2020-07-02,164.07,163.87,O:LLY200710C00165000,O:LLY200710P00165000,165.0,165.0,2020-07-10,8,192,17,209,2.2,3.0,0.2808977176487446,0.2463788382947445,0.2636382779717445,0.0957804217790538,0.095393865204792,0.0955871434919229
2020-07-06,164.46,166.89,O:LLY200710C00167500,O:LLY200710P00167500,167.5,167.5,2020-07-10,4,348,18,366,2.11,3.15,0.3441154556155206,0.4059774715244769,0.3750464635699987,0.0694573758596713,0.0695533180820094,0.0695053469708404
2020-07-07,166.12,166.75,O:LLY200710C00167500,O:LLY200710P00167500,167.5,167.5,2020-07-10,3,163,36,199,2.18,2.76,0.4198041557192803,0.3914645223259926,0.4056343390226364,0.060015976943464,0.0599548320945903,0.0599854045190271
2020-07-08,166.84,169.13,O:LLY200710C00170000,O:LLY200710P00170000,170.0,170.0,2020-07-10,2,129,34,163,1.79,2.58,0.4388979864001274,0.4227112157583236,0.4308046010792256,0.0494470485127091,0.0493994158979768,0.049423232205343
2020-07-09,169.88,166.45,O:LLY200710C00167500,O:LLY200710P00167500,167.5,167.5,2020-07-10,1,712,38,750,1.01,2.61,0.4233191628694535,0.5857325912237168,0.5045258770465851,0.0334885453784891,0.0341370921792611,0.0338128187788751
2020-07-10,166.14,163.36,O:LLY200717C00162500,O:LLY200717P00162500,162.5,162.5,2020-07-17,7,21,11,32,3.23,2.49,0.3087343642115593,0.3221664192080498,0.3154503917098045,0.0893106723485,0.089364443872846,0.089337558110673
2020-07-13,164.61,162.08,O:LLY200717C00162500,O:LLY200717P00162500,162.5,162.5,2020-07-17,4,16,99,115,1.95,3.0,0.3177434251666069,0.4109295583605766,0.3643364917635918,0.0675632442242745,0.0676392314027681,0.0676012378135213
