date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2020-06-01,182.54,182.83,O:MSFT200605C00182500,O:MSFT200605P00182500,182.5,182.5,2020-06-05,4,8321,4303,12624,2.28,2.0,0.2767152203321457,0.2832826584041119,0.2799989393681288,0.0761304967528622,0.0761368985600122,0.0761336976564372
2020-06-02,184.25,184.91,O:MSFT200605C00185000,O:MSFT200605P00185000,185.0,185.0,2020-06-05,3,28019,1858,29877,1.53,1.56,0.2353887637972831,0.226416537284851,0.2309026505410671,0.0668732912977812,0.0668721708460121,0.0668727310718966
2020-06-03,184.815,185.36,O:MSFT200605C00185000,O:MSFT200605P00185000,185.0,185.0,2020-06-05,2,15352,3834,19186,1.55,1.24,0.2491437459945679,0.2583366215467453,0.2537401837706566,0.0543802462129804,0.0544011962863607,0.0543907212496705
2020-06-04,184.3,182.92,O:MSFT200605C00182500,O:MSFT200605P00182500,182.5,182.5,2020-06-05,1,7551,6657,14208,1.29,0.86,0.2796333664655686,0.2769798561334609,0.2783066112995147,0.0376840870096887,0.0376751597636589,0.0376796233866738
2020-06-05,182.62,187.2,O:MSFT200612C00187500,O:MSFT200612P00187500,187.5,187.5,2020-06-12,7,16971,2529,19500,2.5,2.4,0.2557753761291504,0.2170786484658718,0.2364270122975111,0.1033842357481834,0.1033477563207704,0.1033659960344769
2020-06-08,185.94,188.36,O:MSFT200612C00187500,O:MSFT200612P00187500,187.5,187.5,2020-06-12,4,22653,2885,25538,2.69,1.77,0.284611559265852,0.2768725713491439,0.280742065307498,0.0775564354347474,0.0775050599498719,0.0775307476923097
2020-06-09,188.0,189.8,O:MSFT200612C00190000,O:MSFT200612P00190000,190.0,190.0,2020-06-12,3,45469,2914,48383,2.11,2.11,0.3215697369992734,0.292426719379425,0.3069982281893492,0.0686308906867625,0.0686227818425387,0.0686268362646506
2020-06-10,191.125,196.84,O:MSFT200612C00197500,O:MSFT200612P00197500,197.5,197.5,2020-06-12,2,37198,3939,41137,1.88,2.67,0.3768559108614921,0.3993370797991753,0.3880964953303337,0.057802950243562,0.0578478121274235,0.0578253811854928
2020-06-11,193.13,186.27,O:MSFT200612C00187500,O:MSFT200612P00187500,187.5,187.5,2020-06-12,1,6247,18281,24528,1.59,2.63,0.5507577515363695,0.5006493201732636,0.5257035358548166,0.0380164948133641,0.0378094927076913,0.0379129937605277
2020-06-12,190.54,187.74,O:MSFT200619C00187500,O:MSFT200619P00187500,187.5,187.5,2020-06-19,7,6157,6379,12536,3.73,3.55,0.348180654901266,0.353972781598568,0.351076718249917,0.1035887645724289,0.1035889378399898,0.1035888512062094
2020-06-15,184.58,188.94,O:MSFT200619C00190000,O:MSFT200619P00190000,190.0,190.0,2020-06-19,4,26950,4568,31518,2.33,3.42,0.3574706231832504,0.3613048025667668,0.3593877128750086,0.0782353510577581,0.0782535154625126,0.0782444332601353
2020-06-16,192.89,193.57,O:MSFT200619C00192500,O:MSFT200619P00192500,192.5,192.5,2020-06-19,3,15573,11858,27431,3.25,2.0,0.3840379119396209,0.3578994047045708,0.3709686583220958,0.0689269219255275,0.0687961662933087,0.0688615441094181
2020-06-17,195.03,194.24,O:MSFT200619C00195000,O:MSFT200619P00195000,195.0,195.0,2020-06-19,2,18807,11305,30112,1.49,2.23,0.3210517302989959,0.3175238489747047,0.3192877896368503,0.0566985043615386,0.0566814910445258,0.0566899977030322
2020-06-18,194.0,196.32,O:MSFT200619C00197500,O:MSFT200619P00197500,197.5,197.5,2020-06-19,1,18834,3362,22196,0.75,1.92,0.3046314364433288,0.3020201247930525,0.3033257806181907,0.0383128617107822,0.0382659202042994,0.0382893909575408
2020-06-19,198.59,195.15,O:MSFT200626C00195000,O:MSFT200626P00195000,195.0,195.0,2020-06-26,7,6835,10426,17261,3.5,3.3,0.317771676826477,0.3131303582489491,0.315451017537713,0.1077315252724668,0.1077317903708796,0.1077316578216732
2020-06-22,195.79,200.57,O:MSFT200626C00200000,O:MSFT200626P00200000,200.0,200.0,2020-06-26,4,46420,5789,52209,2.9,2.42,0.3114576096534728,0.3222583265066147,0.3168579680800438,0.0833162078552669,0.0833363474260123,0.0833262776406396
2020-06-23,202.09,201.91,O:MSFT200626C00202500,O:MSFT200626P00202500,202.5,202.5,2020-06-26,3,24613,8888,33501,1.89,2.57,0.2970360313296318,0.3094131192803382,0.303224575304985,0.0726987555803909,0.0727316609030837,0.0727152082417373
2020-06-24,201.6043,197.84,O:MSFT200626C00197500,O:MSFT200626P00197500,197.5,197.5,2020-06-26,2,9192,17622,26814,2.12,2.11,0.3332516195476055,0.3899063896417618,0.3615790045946836,0.058227812777788,0.0582643358333062,0.0582460743055471
2020-06-25,197.8,200.34,O:MSFT200626C00200000,O:MSFT200626P00200000,200.0,200.0,2020-06-26,1,27612,3951,31563,1.56,1.23,0.3309609105944633,0.3333648049950599,0.3321628577947616,0.0415966679493357,0.0415995186243158,0.0415980932868258
2020-06-26,199.73,196.33,O:MSFT200702C00197500,O:MSFT200702P00197500,197.5,197.5,2020-07-02,6,11090,6547,17637,2.78,3.85,0.3308783013105392,0.3208466375529766,0.3258624694317579,0.0997146048283771,0.0996538484377091,0.0996842266330431
2020-06-29,195.78,198.44,O:MSFT200702C00197500,O:MSFT200702P00197500,197.5,197.5,2020-07-02,3,11089,2866,13955,2.88,1.91,0.33248042075634,0.3282371287286282,0.3303587747424841,0.0707106434619525,0.0706880212700281,0.0706993323659903
2020-06-30,197.8816,203.51,O:MSFT200702C00202500,O:MSFT200702P00202500,202.5,202.5,2020-07-02,2,24408,7837,32245,2.32,1.45,0.2951410244226456,0.3190626703977585,0.3071018474102021,0.0584112898197251,0.0586297108243331,0.0585205003220291
2020-07-01,203.14,204.7,O:MSFT200702C00205000,O:MSFT200702P00205000,205.0,205.0,2020-07-02,1,32670,10779,43449,1.0,1.37,0.2673821593284607,0.2838317776918412,0.275606968510151,0.0425413408404732,0.0425674307735501,0.0425543858070116
2020-07-02,205.68,206.26,O:MSFT200710C00207500,O:MSFT200710P00207500,207.5,207.5,2020-07-10,8,13428,3759,17187,2.1,3.7,0.2188849666178227,0.2487991830289364,0.2338420748233795,0.1200989224586457,0.1205595244303478,0.1203292234444967
2020-07-06,208.8335,210.7,O:MSFT200710C00210000,O:MSFT200710P00210000,210.0,210.0,2020-07-10,4,32118,10087,42205,3.0,2.4,0.2999842172026634,0.3114306096494198,0.3057074134260416,0.0873461208527564,0.0873806772847272,0.0873633990687418
2020-07-07,210.45,208.25,O:MSFT200710C00207500,O:MSFT200710P00207500,207.5,207.5,2020-07-10,3,1987,6414,8401,3.05,2.39,0.3535710000813008,0.3656167568564415,0.3595938784688712,0.0746997297241324,0.07472973641603,0.0747147330700812
