date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2024-06-12,123.06,125.2,O:NVDA240614C00125000,O:NVDA240614P00125000,125.0,125.0,2024-06-14,2,222925,120266,343191,1.91,1.64,0.489490272140503,0.470520176577568,0.4800052243590355,0.0369013104332465,0.0368988160584006,0.0369000632458236
2024-06-13,129.39,129.61,O:NVDA240614C00129500,O:NVDA240614P00129500,129.5,129.5,2024-06-14,1,69487,26061,95548,1.24,1.35,0.4377360921859742,0.5191108858585358,0.478423489022255,0.0270328030235557,0.0270374457104589,0.0270351243670073
2024-06-14,129.96,131.88,O:NVDA240621C00132000,O:NVDA240621P00101000,132.0,101.0,2024-06-21,7,110216,828,111044,3.1,0.06,0.4335240915536881,0.8603294271469116,0.6469267593502999,0.0728523529411261,0.0051893557416578,0.039020854341392
2024-06-17,132.99,130.98,O:NVDA240621C00131000,O:NVDA240621P00131000,131.0,131.0,2024-06-21,4,110571,81988,192559,2.32,2.15,0.4259490705490112,0.3912095421552658,0.4085793063521385,0.054691682702041,0.0546937500803562,0.0546927163911986
2024-06-18,131.14,135.58,O:NVDA240621C00136000,O:NVDA240621P00136000,136.0,136.0,2024-06-21,3,176607,66553,243160,1.68,1.97,0.3833330509066581,0.3567464508891106,0.3700397508978844,0.0489109310776045,0.0488819795187589,0.0488964552981817
2024-06-20,139.8,130.78,O:NVDA240621C00131000,O:NVDA240621P00131000,131.0,131.0,2024-06-21,1,75450,133885,209335,1.79,1.89,0.6944542764186858,0.6504925479650498,0.6724734121918678,0.0272981946724898,0.0272946697457219,0.0272964322091059
2024-06-21,127.12,126.57,O:NVDA240628C00127000,O:NVDA240628P00127000,127.0,127.0,2024-06-28,7,69886,69956,139842,3.9,4.0,0.5871262205719949,0.5399334320306779,0.5635298263013364,0.0699267252833455,0.0699245424046152,0.0699256338439804
2024-06-24,123.24,118.11,O:NVDA240628C00118000,O:NVDA240628P00118000,118.0,118.0,2024-06-28,4,26837,101900,128737,3.6,3.39,0.7191301344275474,0.6988322108507157,0.7089811726391315,0.0492648357002162,0.0492665557052808,0.0492656957027485
2024-06-25,121.2,126.09,O:NVDA240628C00126000,O:NVDA240628P00126000,126.0,126.0,2024-06-28,3,129613,24880,154493,2.84,2.56,0.6131291913628578,0.5714329599380493,0.5922810756504535,0.0455665648015904,0.0455683084634674,0.0455674366325289
2024-06-26,126.13,126.4,O:NVDA240628C00126000,O:NVDA240628P00126000,126.0,126.0,2024-06-28,2,130602,46775,177377,2.6,2.13,0.64261641433239,0.6237850737571715,0.6332007440447808,0.0371749605894841,0.0371705102491916,0.0371727354193379
