date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2020-06-01,303.62,305.55,O:SPY200603C00306000,O:SPY200603P00306000,306.0,306.0,2020-06-03,2,36891,27892,64783,1.94,2.23,0.2389368504226207,0.221150821262598,0.2300438358426094,0.089982926726505,0.0899313275471091,0.089957127136807
2020-06-02,306.55,308.08,O:SPY200603C00308000,O:SPY200603P00308000,308.0,308.0,2020-06-03,1,82495,38538,121033,1.37,1.36,0.2067083224058151,0.2175937942385673,0.2121510583221912,0.0643041909070711,0.0643058963129232,0.0643050436099972
2020-06-03,310.24,312.18,O:SPY200605C00312000,O:SPY200605P00312000,312.0,312.0,2020-06-05,2,52304,67565,119869,2.08,2.02,0.2157824694633484,0.2288113124787807,0.2222968909710646,0.0921003957542583,0.0921066735202455,0.0921035346372519
2020-06-04,311.11,311.36,O:SPY200605C00311000,O:SPY200605P00311000,311.0,311.0,2020-06-05,1,91852,113954,205806,1.65,1.26,0.2251430668950081,0.2205033575892448,0.2228232122421264,0.0646658477184879,0.0646526437177451,0.0646592457181165
2020-06-05,317.23,319.34,O:SPY200608C00319000,O:SPY200608P00319000,319.0,319.0,2020-06-08,3,39661,60930,100591,1.66,1.71,0.1285384828567505,0.1624356468856335,0.145487064871192,0.1149540620847562,0.1151325786622882,0.1150433203735222
2020-06-08,320.22,323.2,O:SPY200610C00323000,O:SPY200610P00323000,323.0,323.0,2020-06-10,2,26440,21469,47909,2.15,2.17,0.2146908467829227,0.2377647641539573,0.22622780546844,0.0953394007904539,0.0953520755960083,0.0953457381932311
2020-06-09,320.3,320.79,O:SPY200610C00321000,O:SPY200610P00321000,321.0,321.0,2020-06-10,1,65028,67264,132292,1.8,1.96,0.28402202937603,0.2765525050759315,0.2802872672259808,0.0669412444829116,0.0669377896809666,0.0669395170819391
2020-06-10,321.42,319.0,O:SPY200612C00319000,O:SPY200612P00319000,319.0,319.0,2020-06-12,2,17838,38406,56244,2.58,2.73,0.27387843182683,0.2898021759390831,0.2818403038829565,0.0941991539165812,0.0941985747932051,0.0941988643548931
2020-06-11,311.46,300.61,O:SPY200612C00301000,O:SPY200612P00301000,301.0,301.0,2020-06-12,1,19072,75690,94762,3.2,2.81,0.5399441605091096,0.4155860756158829,0.4777651180624963,0.0627405382346434,0.0626976837703951,0.0627191110025193
2020-06-12,308.24,304.21,O:SPY200615C00304000,O:SPY200615P00304000,304.0,304.0,2020-06-15,3,29507,37002,66509,3.16,3.28,0.2776587900102137,0.3076747481584549,0.2926667690843343,0.1099385439617257,0.1099442373595775,0.1099413906606516
