date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2020-06-01,194.71,194.35,O:V200605C00195000,O:V200605P00195000,195.0,195.0,2020-06-05,4,968,396,1364,2.06,2.59,0.2916181497216223,0.2767633196771144,0.2841907346993684,0.0808081299451787,0.0807558061467612,0.08078196804597
2020-06-02,195.94,196.36,O:V200605C00197500,O:V200605P00197500,197.5,197.5,2020-06-05,3,1508,243,1751,1.45,3.0,0.2762673063576222,0.3351181959867477,0.305692751172185,0.0693426347722019,0.0699359901222809,0.0696393124472414
2020-06-03,198.0,196.87,O:V200605C00197500,O:V200605P00197500,197.5,197.5,2020-06-05,2,1028,370,1398,1.27,2.0,0.2687389542341232,0.2861223078370094,0.2774306310355663,0.0574816404423516,0.057568673800917,0.0575251571216343
2020-06-04,195.98,193.64,O:V200605C00192500,O:V200605P00192500,192.5,192.5,2020-06-05,1,931,814,1745,1.75,0.59,0.2694119874477386,0.2639865959048272,0.2666992916762829,0.0369312998378164,0.0367971416484391,0.0368642207431277
2020-06-05,196.2,199.61,O:V200612C00200000,O:V200612P00200000,200.0,200.0,2020-06-12,7,3625,391,4016,2.42,2.87,0.236483962637186,0.2419295594811439,0.239206761059165,0.1101765591291371,0.1101845817263358,0.1101805704277364
2020-06-08,199.58,199.6,O:V200612C00200000,O:V200612P00200000,200.0,200.0,2020-06-12,4,2545,457,3002,2.17,2.58,0.283392267692089,0.2845934996604919,0.2839928836762905,0.0832438664047403,0.0832453853141935,0.0832446258594669
2020-06-09,198.36,199.08,O:V200612C00200000,O:V200612P00200000,200.0,200.0,2020-06-12,3,6685,899,7584,1.7,2.4,0.2949303886294365,0.2639333111286164,0.2794318498790265,0.07109804506804,0.070836936407332,0.070967490737686
2020-06-10,199.9,200.48,O:V200612C00200000,O:V200612P00200000,200.0,200.0,2020-06-12,2,2114,506,2620,2.2,1.45,0.329876619040966,0.2839576585054398,0.3069171387732029,0.0588442650225603,0.058746364903261,0.0587953149629107
2020-06-11,195.14,188.88,O:V200612C00190000,O:V200612P00190000,190.0,190.0,2020-06-12,1,494,2222,2716,1.75,2.6,0.57287486743927,0.5030861152410508,0.5379804913401605,0.0387920782476387,0.0385700072501145,0.0386810427488766
2020-06-12,194.21,192.26,O:V200619C00192500,O:V200619P00192500,192.5,192.5,2020-06-19,7,996,785,1781,3.65,3.55,0.3546273975908757,0.3226179093420506,0.3386226534664631,0.1062188110092347,0.1062171931212935,0.1062180020652641
2020-06-15,187.0,191.76,O:V200619C00192500,O:V200619P00192500,192.5,192.5,2020-06-19,4,1115,283,1398,2.57,3.35,0.3645700149774551,0.369581287252903,0.3670756511151791,0.0798173621593904,0.0798279083766334,0.0798226352680119
2020-06-16,196.86,192.88,O:V200619C00192500,O:V200619P00192500,192.5,192.5,2020-06-19,3,482,685,1167,2.39,2.75,0.3149341730892658,0.4213200897216796,0.3681271314054727,0.0695189220670033,0.0695865319998614,0.0695527270334323
2020-06-17,193.66,193.56,O:V200619C00192500,O:V200619P00192500,192.5,192.5,2020-06-19,2,488,422,910,2.68,1.42,0.3697636713862419,0.3338840633511543,0.3518238673686981,0.0558625428199143,0.0556094705427179,0.0557360066813161
2020-06-18,192.6,193.91,O:V200619C00195000,O:V200619P00195000,195.0,195.0,2020-06-19,1,2280,384,2664,1.06,2.06,0.3802958186626434,0.3571745171785355,0.3687351679205894,0.0390247391757715,0.0388187023193375,0.0389217207475545
2020-06-19,196.89,192.2,O:V200626C00192500,O:V200626P00192500,192.5,192.5,2020-06-26,7,851,345,1196,3.2,3.1,0.3150627360224722,0.277387001889944,0.2962248689562081,0.1061753980712115,0.1061614017641773,0.1061683999176944
2020-06-22,191.99,194.96,O:V200626C00195000,O:V200626P00195000,195.0,195.0,2020-06-26,4,907,937,1844,2.56,2.55,0.3168454515218734,0.3107044704675674,0.3137749609947204,0.0814171060109394,0.0814174736578469,0.0814172898343932
2020-06-23,196.25,197.97,O:V200626C00197500,O:V200626P00197500,197.5,197.5,2020-06-26,3,1285,816,2101,2.25,2.0,0.2805356315016746,0.3114216692507267,0.2959786503762006,0.0711993080935153,0.0712566109519698,0.0712279595227426
2020-06-24,197.02,191.41,O:V200626C00192500,O:V200626P00192500,192.5,192.5,2020-06-26,2,1913,1090,3003,1.7,2.25,0.3885045351266861,0.2907219641566276,0.3396132496416568,0.0555859906222013,0.0547434730055789,0.0551647318138901
2020-06-25,191.1,193.98,O:V200626C00195000,O:V200626P00195000,195.0,195.0,2020-06-26,1,1616,617,2233,1.1,1.97,0.3834178058862686,0.345053482246399,0.3642356440663338,0.0392471930676845,0.0389342640992847,0.0390907285834846
2020-06-26,193.1,189.27,O:V200702C00190000,O:V200702P00190000,190.0,190.0,2020-07-02,6,627,1688,2315,3.15,3.7,0.3611681932747363,0.3425383692860604,0.3518532812803984,0.0966362057922457,0.0966015053207975,0.0966188555565216
2020-06-29,189.91,191.38,O:V200702C00192500,O:V200702P00192500,192.5,192.5,2020-07-02,3,566,70,636,1.6,3.47,0.3043762774646281,0.4142173005759716,0.3592967890202999,0.0678792023774952,0.0685754050767135,0.0682273037271044
2020-06-30,191.49,193.17,O:V200702C00192500,O:V200702P00192500,192.5,192.5,2020-07-02,2,1368,75,1443,2.05,1.37,0.2974723227858543,0.2956942562937736,0.296583289539814,0.0562381703190987,0.0562297667883457,0.0562339685537222
2020-07-01,193.85,193.78,O:V200702C00195000,O:V200702P00195000,195.0,195.0,2020-07-02,1,1964,408,2372,0.72,2.05,0.3043378337502479,0.3334273877859116,0.3188826107680798,0.0375591215480642,0.0380484915844575,0.0378038065662608
2020-07-02,196.0,195.67,O:V200710C00195000,O:V200710P00195000,195.0,195.0,2020-07-10,8,479,720,1199,2.94,2.53,0.2246141529083252,0.2472632225334644,0.2359386877208948,0.1147407540287665,0.1148441415185067,0.1147924477736366
2020-07-06,198.73,197.76,O:V200710C00197500,O:V200710P00197500,197.5,197.5,2020-07-10,4,1410,247,1657,2.25,2.34,0.2565556941270828,0.2990093561291694,0.2777825251281262,0.0824301736780998,0.0824536021436026,0.0824418879108512
2020-07-07,196.81,194.2,O:V200710C00195000,O:V200710P00195000,195.0,195.0,2020-07-10,3,506,525,1031,1.71,2.75,0.2963354616880417,0.3307974801063537,0.3135664708971977,0.0695572538403169,0.0697167297513418,0.0696369917958293
2020-07-08,195.08,195.07,O:V200710C00195000,O:V200710P00195000,195.0,195.0,2020-07-10,2,2171,1332,3503,1.8,1.77,0.3064137943267822,0.3133601264953612,0.3098869604110717,0.057584934745006,0.0575850810227237,0.0575850078838649
2020-07-09,195.0,192.21,O:V200710C00192500,O:V200710P00192500,192.5,192.5,2020-07-10,1,3590,735,4325,1.09,1.69,0.3061169730901718,0.3835715807437897,0.3448442769169807,0.03998808198489,0.0400516719650619,0.040019876974976
2020-07-10,191.65,192.55,O:V200717C00192500,O:V200717P00192500,192.5,192.5,2020-07-17,7,1880,762,2642,3.15,3.15,0.2938131964087487,0.2985151308894157,0.2961641636490822,0.1063410783175751,0.1063404360255117,0.1063407571715434
2020-07-13,193.61,189.02,O:V200717C00190000,O:V200717P00190000,190.0,190.0,2020-07-17,4,479,623,1102,2.5,3.35,0.3745575131654739,0.3579787954449653,0.3662681543052196,0.0784447541328502,0.07838143227348,0.0784130932031651
2020-07-14,189.5,193.33,O:V200717C00192500,O:V200717P00192500,192.5,192.5,2020-07-17,3,1544,242,1786,2.7,1.9,0.3240313863754273,0.3283773141801357,0.3262043502777815,0.0690215396323153,0.0690408053276268,0.0690311724799711
2020-07-15,195.23,196.55,O:V200717C00197500,O:V200717P00197500,197.5,197.5,2020-07-17,2,2302,262,2564,1.39,2.66,0.3138089345097541,0.3698262541770935,0.3418175943434238,0.0569394616855096,0.0572824546871122,0.0571109581863109
2020-07-16,195.33,193.5,O:V200717C00192500,O:V200717P00192500,192.5,192.5,2020-07-17,1,378,1037,1415,1.67,0.87,0.2725321865916252,0.3249819295644761,0.2987570580780506,0.0377276830746232,0.038473040805588,0.0381003619401056
2020-07-17,194.83,195.09,O:V200724C00195000,O:V200724P00195000,195.0,195.0,2020-07-24,7,1126,349,1475,2.9,2.78,0.2649407152533531,0.2621559598684311,0.2635483375608921,0.1077308381370843,0.1077310352567323,0.1077309366969083
2020-07-20,194.74,198.47,O:V200724C00197500,O:V200724P00197500,197.5,197.5,2020-07-24,4,1280,1034,2314,2.91,1.93,0.2895193017244338,0.2882937518715858,0.2889065267980098,0.0816019318574228,0.0815929275198116,0.0815974296886172
2020-07-21,200.0,196.48,O:V200724C00197500,O:V200724P00197500,197.5,197.5,2020-07-24,3,1464,772,2236,1.47,2.6,0.2719367560386658,0.2877026127099991,0.2798196843743324,0.0696875740258639,0.0698509710609785,0.0697692725434212
2020-07-22,196.48,198.86,O:V200724C00200000,O:V200724P00200000,200.0,200.0,2020-07-24,2,2339,314,2653,1.13,2.21,0.2780040682077407,0.267398609662056,0.2727013389348983,0.056661660512291,0.0564853204216565,0.0565734904669737
2020-07-23,198.44,197.43,O:V200724C00197500,O:V200724P00197500,197.5,197.5,2020-07-24,1,1091,1907,2998,1.09,1.19,0.2727524780154229,0.2800303201675415,0.2763913990914822,0.0412200779384171,0.0412206730754928,0.041220375506955
2020-07-24,195.67,195.15,O:V200731C00195000,O:V200731P00195000,195.0,195.0,2020-07-31,7,654,712,1366,3.74,3.56,0.3400493622899055,0.3372646069049836,0.3386569845974446,0.1077298248011338,0.1077300737730858,0.1077299492871098
2020-07-27,195.16,196.91,O:V200731C00197500,O:V200731P00197500,197.5,197.5,2020-07-31,4,2492,584,3076,2.86,3.3,0.3820356202483177,0.3637657367110253,0.3729006784796715,0.0821124544467177,0.0820903315204183,0.082101392983568
